YEAR,day_of_year,count
2018,05-26,159
2018,05-27,150
2018,05-28,126
2018,05-29,162
2018,05-30,165
2018,05-31,169
2018,06-01,172
2018,06-02,162
2018,06-03,110
2018,06-04,142
2018,06-05,163
2018,06-06,169
2018,06-07,169
2018,06-08,179
2018,06-09,170
2018,06-10,154
2018,06-11,182
2018,06-12,159
2018,06-13,143
2018,06-14,186
2018,06-15,206
2018,06-16,149
2018,06-17,159
2018,06-18,171
2018,06-19,151
2018,06-20,167
2018,06-21,164
2018,06-22,149
2018,06-23,169
2018,06-24,163
2018,06-25,191
2018,06-26,170
2018,06-27,173
2018,06-28,158
2018,06-29,138
2018,06-30,171
2018,07-01,178
2018,07-02,138
2018,07-03,178
2018,07-04,166
2018,07-05,166
2018,07-06,158
2018,07-07,149
2018,07-08,134
2018,07-09,161
2018,07-10,163
2018,07-11,148
2018,07-12,137
2018,07-13,156
2018,07-14,154
2018,07-15,139
2018,07-16,147
2018,07-17,134
2018,07-18,136
2018,07-19,182
2018,07-20,158
2018,07-21,155
2018,07-22,158
2018,07-23,175
2018,07-24,155
2018,07-25,168
2018,07-26,163
2018,07-27,173
2018,07-28,181
2018,07-29,166
2018,07-30,154
2018,07-31,169
2018,08-01,169
2018,08-02,169
2018,08-03,175
2018,08-04,142
2018,08-05,140
2018,08-06,173
2018,08-07,109
2018,08-08,136
2018,08-09,177
2018,08-10,183
2018,08-11,151
2018,08-12,129
2018,08-13,141
2018,08-14,178
2018,08-15,175
2018,08-16,154
2018,08-17,149
2018,08-18,156
2018,08-19,169
2018,08-20,157
2018,08-21,159
2018,08-22,163
2018,08-23,156
2018,08-24,175
2018,08-25,145
2018,08-26,131
2018,08-27,135
2018,08-28,151
2018,08-29,160
2018,08-30,146
2018,08-31,183
2018,09-01,191
2018,09-02,158
2018,09-03,172
2018,09-04,180
2018,09-05,152
2018,09-06,141
2018,09-07,133
2018,09-08,162
2018,09-09,127
2018,09-10,158
2018,09-11,158
2018,09-12,153
2018,09-13,151
2018,09-14,160
2018,09-15,140
2018,09-16,178
2018,09-17,146
2018,09-18,124
2018,09-19,160
2018,09-20,144
2018,09-21,186
2018,09-22,170
2018,09-23,148
2018,09-24,154
2018,09-25,126
2018,09-26,161
2018,09-27,156
2018,09-28,160
2018,09-29,146
2018,09-30,138
2018,10-01,184
2018,10-02,153
2018,10-03,171
2018,10-04,121
2018,10-05,172
2018,10-06,159
2018,10-07,153
2018,10-08,136
2018,10-09,154
2018,10-10,153
2018,10-11,147
2018,10-12,148
2018,10-13,144
2018,10-14,141
2018,10-15,123
2018,10-16,144
2018,10-17,127
2018,10-18,141
2018,10-19,139
2018,10-20,171
2018,10-21,102
2018,10-22,174
2018,10-23,146
2018,10-24,116
2018,10-25,153
2018,10-26,135
2018,10-27,164
2018,10-28,143
2018,10-29,136
2018,10-30,151
2018,10-31,189
2018,11-01,166
2018,11-02,166
2018,11-03,197
2018,11-04,134
2018,11-05,140
2018,11-06,131
2018,11-07,135
2018,11-08,128
2018,11-09,113
2018,11-10,139
2018,11-11,126
2018,11-12,98
2018,11-13,146
2018,11-14,151
2018,11-15,119
2018,11-16,128
2018,11-17,162
2018,11-18,139
2018,11-19,118
2018,11-20,132
2018,11-21,116
2018,11-22,78
2018,11-23,98
2018,11-24,127
2018,11-25,139
2018,11-26,142
2018,11-27,166
2018,11-28,128
2018,11-29,186
2018,11-30,170
2018,12-01,177
2018,12-02,113
2018,12-03,153
2018,12-04,149
2018,12-05,153
2018,12-06,128
2018,12-07,137
2018,12-08,130
2018,12-09,134
2018,12-10,140
2018,12-11,112
2018,12-12,150
2018,12-13,156
